name,type,avg_r2,avg_mae,avg_rmse,trend_accuracy,exceed_accuracy,short_r2,medium_r2,long_r2,delta_r2_vs_baseline,delta_mae_vs_baseline,delta_rmse_vs_baseline
baseline_lstm_vocs,single,0.6506509507695833,7.2520124812920885,9.332653316589207,0.5393735682008611,0.9941749285210353,0.903064489364624,0.6464342474937439,0.402421236038208,0.0,0.0,0.0
ensemble_weighted_r2_topk,ensemble,0.6484167264816117,7.2146861834852025,9.322554470643249,0.5396447927311826,0.9942399093980914,0.9062034981149485,0.6395543479576142,0.39946030047949577,-0.002234224287971598,-0.03732629780688601,-0.01009884594595789
ensemble_mean_topk,ensemble,0.6483729779720306,7.215078701575597,9.323248905746214,0.5396690092071041,0.9942399093980914,0.9061740040779114,0.6394978761672974,0.3994150757789612,-0.0022779727975527075,-0.0369337797164917,-0.009404410842993371
ensemble_xgboost_topk,ensemble,0.6476005166769028,7.163226326306661,9.310268102334236,0.521201524669324,0.9941099476439791,0.9088819026947021,0.6450431942939758,0.38884228467941284,-0.003050434092680576,-0.08878615498542786,-0.022385214254970975
dlinear_large_single_best.pt,single,0.6429613828659058,7.328420052925746,9.42007553122805,0.5350388190109022,0.9939150050128105,0.9004052877426147,0.633694589138031,0.3947523832321167,-0.0076895679036775855,0.07640757163365741,0.0874222146388437
dlinear_large_deep_large_256_128_64_best.pt,single,0.6424969161550204,7.2856642206509905,9.425520377848622,0.5325784250572719,0.9942723998366195,0.9013500213623047,0.6319643259048462,0.39414453506469727,-0.008154034614562988,0.03365173935890198,0.09286706125941535
dlinear_large_deep_large_96_48_24_best.pt,single,0.6421677693724632,7.344339688618978,9.456885674860603,0.5333581955819461,0.9942306264156549,0.8984963297843933,0.6335378885269165,0.39443695545196533,-0.008483181397120121,0.09232720732688904,0.12423235827139578
dlinear_large_grid_03_lr3e-04_k35_e7_best.pt,single,0.6420195226867994,7.170729587475459,9.43445196491075,0.5331644637745737,0.9942723998366195,0.900454044342041,0.6315975189208984,0.39397531747817993,-0.008631428082783943,-0.08128289381662945,0.10179864832154273
dlinear_large_grid_04_lr1e-03_k15_e5_best.pt,single,0.6415881166855494,7.396608581145604,9.444145880412592,0.5350630354868238,0.9941934944859084,0.8997102975845337,0.6319329142570496,0.3930893540382385,-0.009062834084033966,0.14459609985351562,0.11149256382338457
dlinear_large_grid_01_lr3e-04_k15_e3_best.pt,single,0.6412930761774381,7.288644880056381,9.439060958412545,0.5334695913711853,0.9939614199249935,0.9010765552520752,0.6306346654891968,0.3921360373497009,-0.00935787459214521,0.036632398764292695,0.1064076418233384
dlinear_large_grid_05_lr1e-03_k25_e7_best.pt,single,0.6411579151948293,7.39045845468839,9.450725363813158,0.5283453850661837,0.9942399093980914,0.9000343680381775,0.6314054727554321,0.3920019865036011,-0.009493035574754005,0.13844597339630127,0.1180720472239507
dlinear_large_best.pt,single,0.6399844984213511,7.173915167649587,9.468371431140392,0.5321086254243937,0.9942074189595633,0.8988329172134399,0.6299095153808594,0.391179621219635,-0.01066645234823227,-0.07809731364250183,0.1357181145511852
